name,rating,address,region,closeregion,price,url,services,weddingpack,transfer,location
Pietro Gambera Fotografo,4.7,,?,no,900€,https://www.matrimonio.com/fotografo-matrimonio/pietro-gambera-fotografo--e107829,"risoluzione, blu-ray o DVD con tutti gli scatti, altri","Uscita dalla vestizione al taglio torta. Album (tra le varie proposte di grafica e materiali), Albumgenitori, file in alta risoluzione. Slide di 30 foto il giorno dopo le nozze condiviso su facebook",yes,?
Gabriele Bernasconi,4.9,,?,no,1300€,https://www.matrimonio.com/fotografo-matrimonio/gabriele-bernasconi--e110621,"risoluzione, blu-ray o DVD con tutti gli scatti, Chiavetta USB",Album principale compreso i file in alta risoluzione senza logo su chiavetta USB. In aggiunta Albumetti ealbum con foto dedicate ai soli invitati,yes,?
Luciano Boniforti,4.8,,?,no,800€-1900€,https://www.matrimonio.com/fotografo-matrimonio/luciano-boniforti--e111509,"Foto, video, album, mini album, fotografie in alta risoluzione, negativi, altri","Servizio fotografico realizzato  con tecnologia digitale o in analogico,  album e cofanetti totalmenteartigianali, servizio polaroid al ricevimento",yes,?
Cristina Meta Photography,5.0,,?,no,1000€,https://www.matrimonio.com/fotografo-matrimonio/cristina-meta-photography--e124798,"DVD con tutti gli scatti, altri",,yes,?
Studio Fotografico Macro,5.0,,?,no,900€-4500€,https://www.matrimonio.com/fotografo-matrimonio/studio-fotografico-macro--e133377,con tutti gli scatti,"Servizio Fotografico completo e professionale, per tutto il giorno; Fotolibri Made in Italy con marchiprestigiosi: AlbumEpoca, Gemma, Prince Furstenberg, con vasta scelta di copertine e stili",yes,Como e Lecco
Studio Fotografico Perotti,5.0,,?,no,600€,https://www.matrimonio.com/fotografo-matrimonio/studio-fotografico-perotti--e137284,"Foto, video, album, mini album, fotografie in alta risoluzione, blu-ray o DVD con tutti gli scatti, cabina fotografica","Servizio fotografico professionale realizzato con scatti illimitati, portaprovini con tutte le foto delmatrimonio, DVD con file in HD, album fotografico per gli sposi",yes,?
The Wedding Theory,5.0,,?,no,600€-1700€,https://www.matrimonio.com/fotografo-matrimonio/the-wedding-theory--e140508,"risoluzione, negativi, blu-ray o DVD con tutti gli scatti","Un pacchetto base include servizio fotografico per tutta la giornata, album, mini album, scatti in alta risoluzione",yes,?
Magda Moiola,5.0,,?,no,1100€,https://www.matrimonio.com/fotografo-matrimonio/magda-moiola--e149450,"Foto, prematrimonio, postmatrimonio, album, mini album, album digitali, fotografie in alta risoluzione","Servizio fotografico dai preparativi a casa della sposa e dello sposo fino al ricevimento compreso.Slideshow. Possibilità di abbinare al servizio fotoalbum, album genitori, stampe, stampe fine art...",yes,Como e Sondrio
Dodomax di Massimo Baraldo,?,,?,no,200€,https://www.matrimonio.com/fotografo-matrimonio/dodomax-di-massimo-baraldo--e163058,"DVD con tutti gli scatti, Stampati personalizzati (partecipazioni, libretti, tableau, segnatavoli, ecc.)",Personalizzato in base alle proprie esigenze,yes,Milano e Monza e Brianza
Alessandro Tumminello Photo,5.0,,?,no,950€,https://www.matrimonio.com/fotografo-matrimonio/alessandro-tumminello-photo--e165143,"risoluzione, blu-ray o DVD con tutti gli scatti, altri","Dvd foto jpeg 300 dpi pronti per la stampa, fotolibro 40 pagine, 2 foto-album per i genitori",yes,Lodi e Pavia
L'Arte della Foto,4.7,,?,no,300€,https://www.matrimonio.com/fotografo-matrimonio/larte-della-foto--e171714,"DVD con tutti gli scatti, Possibilità di stampe fotografiche fino a formato cm.13 X 18 durante le riprese del servizio fotografico matrimoniale","Foto, video, auto Jaguar MK2   CD con tutti gli scatti; Album tradizionale o libro  a partire da 750/990euro. Video a partire da 350 euro.  Stampa di foto immediate durante il Matrimonio",yes,?
Claudio Bugatti,?,,?,no,800€,https://www.matrimonio.com/fotografo-matrimonio/claudio-bugatti--e173654,"Foto, video, prematrimonio, postmatrimonio, album, mini album, album digitali, fotografie in alta risoluzione","Shooting evento, postproduzione, album digitale e/o cartaceo, file singoli hd",yes,?
Massimiliano Bocchio Fotografia,4.9,,?,no,1500€,https://www.matrimonio.com/fotografo-matrimonio/massimiliano-bocchio-fotografia--e179260,blu-ray o DVD con tutti gli scatti,-Consulenza personalizzata agli sposi  -Servizio prematrimonio con consegna scatti primadell'evento  -Fotografie durante tutta la giornata dell'evento con un approccio creativo e narrativo,yes,?
MMP - Mattia Martegani Photo,5.0,,?,no,800€,https://www.matrimonio.com/fotografo-matrimonio/mmp-mattia-martegani-photo--e183176,"risoluzione, blu-ray o DVD con tutti gli scatti",Da concordare in base alle richieste degli sposi,yes,?
Foto Ribo,5.0,,?,no,750€-2200€,https://www.matrimonio.com/fotografo-matrimonio/foto-ribo--e183940,"gli scatti, altri","12 ore di riprese con 2 fotografi, scatti illimitati, post-produzione dei migliori scatti, impaginazioneAlbum-Libro, Album e due album gemelli più piccoli, Usb box con i file eventualmente foto-teca",yes,Milano e Monza e Brianza
Irene Ortega Photographer,5.0,,?,no,400€-1000€,https://www.matrimonio.com/fotografo-matrimonio/irene-ortega-photographer--e185582,"blu-ray o DVD con tutti gli scatti, altri","Incontro conoscitivo, visita alle location, massima disponibilità oraria, chiavetta USB dalle 400 foto insu in alta risoluzione e postprodotte, DVD con le stesse foto montate a video",yes,?
Fotorotastudio,4.9,,?,no,900€-5000€,https://www.matrimonio.com/fotografo-matrimonio/fotorotastudio--e11463,"risoluzione, negativi, blu-ray o DVD con tutti gli scatti, Servizio foto su CD  Album ottimizzati per IPAD e WEB  visione bozza album in anteprima  gallery web personalizzata   Post produzione e Impaginazione....",2 album per famiglie - 3 poster - book provini + CD - galleria web personalizzata - valigia album ocontenitore LUX....  3 dvd video 1 bluray hd dvd versione usb pen,yes,"Como, Lecco e Monza e Brianza"
FotoFantasy,4.8,,?,no,1200€,https://www.matrimonio.com/fotografo-matrimonio/fotofantasy--e26633,"risoluzione, blu-ray o DVD con tutti gli scatti, cabina fotografica, I bambini sono il soggetto più bello da fotografare.Disponiamo di scenografie e accessori simpatici che rendono il momento di una foto un ricordo unico e stupendo","Presenza del fotografo tutta la giornata , scatti notturni inclusi.  Provinatura di tutti gli scatti suDVD.  Personalizzazione del video con musiche degli sposi.  Albumini per genitori e testi",yes,?
MC Fotografia,4.9,,?,no,600€-2000€,https://www.matrimonio.com/fotografo-matrimonio/mc-fotografia--e30293,"risoluzione, negativi, blu-ray o DVD con tutti gli scatti, photocall, altri","Tutte le immagini della giornata in alta risoluzione con là post produzione di circa 300 immagini, iltutto verrà messo in un elegante chiavetta USB. Potrete aggiungere anche Album e Video",yes,?
Photo Giuffrida,5.0,,?,no,500€-2000€,https://www.matrimonio.com/fotografo-matrimonio/photo-giuffrida--e40953,"risoluzione, blu-ray o DVD con tutti gli scatti","DVD provini in Bassa Risoluzione, DVD tutti gli scatti in HD, Album, Valigia o Bauletto, ecc...",yes,Milano e Monza e Brianza
Franco Lops,5.0,,?,no,?,https://www.matrimonio.com/fotografo-matrimonio/franco-lops--e45043,"risoluzione, blu-ray o DVD con tutti gli scatti","Album, chiavetta con tutte le foto ad alta risoluzione, album genitori",yes,Pavia e Piacenza
DoppioClick Photography,5.0,,?,no,1000€,https://www.matrimonio.com/fotografo-matrimonio/doppioclick-photography--e66703,"gli scatti, Photobooth - foto ringraziamento in giornata",Dipende dal pacchetto scelto.  Sono sempre inclusi gli scatti ad alta qualita e la presenza di due fotografi,yes,Lecco e Monza e Brianza
L'Arte della Foto,4.7,,?,no,400€,https://www.matrimonio.com/fotografo-matrimonio/larte-della-foto--e67433,"DVD con tutti gli scatti, Possibilità di stampe fotografiche fino a formato cm.13 X 18 durante le riprese del servizio fotografico matrimoniale","Foto, video, auto Jaguar MK2   CD con tutti gli scatti; Album tradizionale o libro  a partire da 750/990euro. Video a partire da 350 euro.  Stampa di foto immediate durante il Matrimonio",yes,?
Stefano Mauri - Studio Fotografico,5.0,,?,no,1300€,https://www.matrimonio.com/fotografo-matrimonio/stefano-mauri-studio-fotografico--e89162,"risoluzione, blu-ray o DVD con tutti gli scatti, ""Event Print"" un chiosco di stampa immediata, grazie al quale vostri invitati tramite un applicazione mobile dedicata potranno stampare gratuitamente le foto fatte con i propri smartphone","Due fotografi, copertura dai preparativi fino alla fine dei festeggiamenti, fotogallery on-line, USB keycon tutte le foto post-prodotte a colori e bianco nero",yes,?
Alessandro Castiglioni,4.9,,?,no,1100€-2500€,https://www.matrimonio.com/fotografo-matrimonio/alessandro-castiglioni--e91398,"risoluzione, blu-ray o DVD con tutti gli scatti, IBook - eBook  con possibilità di testi e musica. Visibili su tablet, smartphone e computer. Stampe su vari supporti formati. VIdeo classici e in stop motion","Cessione delle Immagini posprodotte circa 800/900 scatti e consegna file su supporto digitale, gallery online + album, possibilià di stampe su vari supporti",yes,?
Obiettivo Foto,4.8,,?,no,500€-1500€,https://www.matrimonio.com/fotografo-matrimonio/obiettivo-foto--e99864,"gli scatti, Partecipazioni di nozze.  Consegna di foto degli sposi durante il ricevimento da distribuire agli invitati","Prevediamo tre livelli di servizi: EASY con 40 stampe ed a prezzo contenuto, CLASSIC con 60 stampe,disponibilità totale + 2 albumini , Top con 80 stampe, + 2 albumini, 1 tela arredo, tutti i file",yes,"Mantova, Parma e Reggio Emilia"
Aladino Foto,4.9,,?,no,1300€-3000€,https://www.matrimonio.com/fotografo-matrimonio/aladino-foto--e103345,DVD con tutti gli scatti,"Due persone tutto il giorno, casa sposo, casa sposa, cerimonia, ricevimento fino al taglio tortafinale.  Nessun limite di scatto.  Consegniamo album scelto da voi e tutti i file originali scattati",yes,?
Immagini di un Sogno,4.9,,?,no,990€,https://www.matrimonio.com/fotografo-matrimonio/immagini-di-un-sogno--e109501,"gli scatti, Servizio stampa  Possibilità di stampare al momento le foto con gli invitati/ringraziamenti  Servizio selfie  Postazione presso la quale potete stampare i selfie scattati coi vostri cellulari  Photoboot","- 2 fotografi  - copertura dell'evento completo, da preparativi al ricevimento  - album 40x60 o 40x40 conwedding box  - 2 album family  -scatti illimitati  -rilascio tutte immagini in hd compresi diritti",yes,Bergamo e Milano
Pozzi Alessandro,4.9,,?,no,700€-1700€,https://www.matrimonio.com/fotografo-matrimonio/pozzi-alessandro--e109675,"risoluzione, blu-ray o DVD con tutti gli scatti, photocall, cabina fotografica","Il pacchetto comprende:2 fotografi che staranno con voi per tutto l'arco della giornata.Un DVD con 500foto pronte per la stampa, offro inoltre un servizio di produzione album fatto a mano",yes,Lecco e Monza e Brianza
Foto Pier,4.9,,?,no,500€,https://www.matrimonio.com/fotografo-matrimonio/foto-pier--e110308,DVD con tutti gli scatti,"Tutto completo, servizio, stampa, rilegatura etccc",yes,?
Nicasio Ciaccio Fotografo,5.0,,?,no,1200€,https://www.matrimonio.com/fotografo-matrimonio/nicasio-ciaccio-fotografo--e115102,"risoluzione, negativi, blu-ray o DVD con tutti gli scatti",Servizio fotografico con copertura dell'intero evento (circa 10 ore). Consegna foto in alta risoluzione. Album,yes,?
Elena Grecchi Fotografa,4.9,,?,no,1000€,https://www.matrimonio.com/fotografo-matrimonio/elena-grecchi-fotografa--e115959,"Foto, video, album, mini album, album digitali, fotografie in alta risoluzione","Servizio fotografico dell'intero evento, due fotografi, tutte le immagini post-prodotte e in altarisoluzione su chiavetta USB, video slide-show, fotolibro artigianale di altissima qualità",yes,Cremona e Lodi
Blight project,5.0,,?,no,900€-1200€,https://www.matrimonio.com/fotografo-matrimonio/blight-project--e121862,"risoluzione, negativi, blu-ray o DVD con tutti gli scatti","Due fotografi per tutto il giorno.   Consegna foto in alta definizione su DVD, tutte le foto consegnatesono trattate digitalmente.   Fotolibro: da concordare con il cliente in ogni suo dettaglio",yes,?
Unconventional Photography,5.0,,?,no,900€-3000€,https://www.matrimonio.com/fotografo-matrimonio/unconventional-photography--e129203,"risoluzione, blu-ray o DVD con tutti gli scatti, cabina fotografica",Il pack base include la copertura completa del matrimonio (e non solo fino al taglio della torta. ) e laconsegna di un dvd con le foto in alta risoluzione selezionate e lavorate,yes,Varese e Verbania
Foto Bonetta di Loredana Ballerini,4.9,,?,no,500€-1700€,https://www.matrimonio.com/fotografo-matrimonio/foto-bonetta-di-loredana-ballerini--e133277,"con tutti gli scatti, altri",Il servizio fotografico completo comprende le foto in formato digitale e l'album delle nozze,yes,?
Photobouquet,4.9,,?,no,850€-1700€,https://www.matrimonio.com/fotografo-matrimonio/photobouquet--e133521,"DVD con tutti gli scatti, Photoboot e possibilità di stampare le foto degli invitati al ristorante","Non abbiamo pacchetti fissi, preventivi personalizzati alle esigenze degli sposi",yes,?
Maria Salvi Photography,5.0,,?,no,1200€-2000€,https://www.matrimonio.com/fotografo-matrimonio/maria-salvi-photography--e136979,"Foto, video, prematrimonio, postmatrimonio, album, mini album, album digitali, fotografie in alta risoluzione","Il mio servizio comprende la copertura totale dell'evento con la presenza di 2 fotografi, scatti dellagiornata in alta risoluzione, post-produzione e progettazione dell'album di nozze",yes,?
L'officina Fotografica,5.0,,?,no,890€-3500€,https://www.matrimonio.com/fotografo-matrimonio/lofficina-fotografica--e140125,"risoluzione, blu-ray o DVD con tutti gli scatti, Il nostro servizio di Wedding Preview di circa mezz'ora racconterà l'inizio dellavostra storia e rappresenterà l'anteprima del vostro album",Il nostro pacchetto base comprende il servizio fotografico dalla cerimonia al taglio della torta. Aquesto posson esser aggiunti i servizi aggiuntivi che arricchiranno il vostro servizio matrimoniale,yes,"Lecco, Milano e Monza e Brianza"
Andrea De Amici,4.9,,?,no,1200€-3500€,https://www.matrimonio.com/fotografo-matrimonio/andrea-de-amici--e142264,"risoluzione, blu-ray o DVD con tutti gli scatti",Servizio fotografico 2 fotografi per l'intera giornata + consegna chiavetta USB con tutto lo scattato +album professionale formato 30X30,yes,Novara e Varese
Deartimage,4.8,,?,no,500€-1900€,https://www.matrimonio.com/fotografo-matrimonio/deartimage--e148411,"risoluzione, negativi, blu-ray o DVD con tutti gli scatti, Wedding-oke: un  karaoke per tutti, in uno splendido video che oltre a divertire tutti in quel giorno, lascia un bellissimo ricordo nel tenmpo.  Photobooth: reflex gigante ad appannaggio degli invitati",Album 30x40   + album guestbook  + album parenti  +serv.12h  +video slide in location  Video +Videoclip Drone  Selfie,yes,?
Studio Digital Foto di Gerosa Cristiano,4.8,,?,no,750€-2300€,https://www.matrimonio.com/fotografo-matrimonio/studio-digital-foto-di-gerosa-cristiano--e151028,"risoluzione, blu-ray o DVD con tutti gli scatti","Soluzioni personalizzate: dal solo DVD scatti con le foto post prodotte, alle varie tipologie di albumlibro, album genitori e video in HD, a richiesta anche il drone",yes,?
Laura Benaglia,5.0,,?,no,980€-1900€,https://www.matrimonio.com/fotografo-matrimonio/laura-benaglia--e152336,"Foto, prematrimonio, postmatrimonio, mini album, album digitali, fotografie in alta risoluzione","Il servizio con due fotografi, tutta la giornata, dai preparativi al taglio della torta. Fotolibro a richiesta",yes,?
Fabrizio Foto,4.7,,?,no,620€-4000€,https://www.matrimonio.com/fotografo-matrimonio/fabrizio-foto--e152751,"risoluzione, blu-ray o DVD con tutti gli scatti, Fabrizio Foto offre gratuitamente la creazione di una Pagina facebook dedicata agli sposi per permettere di condividere in assoluta libertà l'evento e tutta quanto ad esso legato","Tutto, ma proprio tutto quello che la coppia possa desiderare.   Qualità, esperienza e professionalità.Prematrimoniale, Cd, slideshow, pagina FB , album, valigia, album gemelli x genitori",yes,"Bergamo, Lecco e Monza e Brianza"
DG fotostudio,4.9,,?,no,600€-2000€,https://www.matrimonio.com/fotografo-matrimonio/dg-fotostudio--e153683,"risoluzione, blu-ray o DVD con tutti gli scatti, photocall, cabina fotografica, altri","Offriamo numerose soluzioni, a partire dalla semplice consegna dei files selezionati su DVD ad altarisoluzione fino ad album completi sia per gli sposi che per i genitori",yes,?
Michael Yohannes,5.0,,?,no,1200€,https://www.matrimonio.com/fotografo-matrimonio/michael-yohannes--e161228,"risoluzione, photocall, altri","I pacchetti sono tutti diversi e personalizzati in base alle esigenze dei clienti. Sono flessibile etrasparente, per richiedere un preventivo potete contattarmi sia via email che per telefono",yes,?
Marelli Gianluca Photography,4.9,,?,no,600€,https://www.matrimonio.com/fotografo-matrimonio/marelli-gianluca-photography--e161425,"Foto, video, album, mini album, album digitali, fotografie in alta risoluzione, blu-ray o DVD con tutti gli scatti","I pacchetti sono vari e vanno dalla fornitura di scatti digitali su dvd, alla realizzazione di album,video montato e stampa ringraziamenti",yes,?
PM Wedding,5.0,,?,no,1300€,https://www.matrimonio.com/fotografo-matrimonio/pm-wedding--e162688,cabina fotografica,Abbiamo soluzioni personalizzate per ogni esigenza e per ogni tipo di evento; saremo felici di definireinsieme a voi la soluzione migliore in base ai vostri desideri,yes,?
Studio Fotografico Arte dell'Immagine,4.9,,?,no,900€,https://www.matrimonio.com/fotografo-matrimonio/studio-fotografico-arte-dellimmagine--e168291,"risoluzione, negativi, blu-ray o DVD con tutti gli scatti, altri","Nel pack del matrimonio includiamo foto casa dello sposo, foto a casa della sposa, foto della cerimoniain chiesa o comune, foto del ricevimento nella location senza limite di orari e distanza",yes,?
Studio Fotografico Tadini Gianfranco,?,,?,no,650€,https://www.matrimonio.com/fotografo-matrimonio/studio-fotografico-tadini-gianfranco--e187992,pubblicitari e industriali,"Generalmente il prezzo base include 1500 scatti ad alta risoluzione consegnati di DVD.  È comunquepossibile richiedere dei preventivi per album classico e foto libro tipo ""epoca""",yes,?
#Levento di Russo Maria Cristina,5.0,,?,no,1300€,https://www.matrimonio.com/fotografo-matrimonio/levento-di-russo-maria-cristina--e199254,"Foto, video, album, mini album, album digitali, fotografie in alta risoluzione, altri",Servizio fotografico con album digitale,yes,?
Luigi Lombardo,5.0,,?,no,1000€,https://www.matrimonio.com/fotografo-matrimonio/luigi-lombardo--e204560,"risoluzione, blu-ray o DVD con tutti gli scatti, cabina fotografica",Pack matrimonio base: foto post-prodotte su una chiavetta e negativi digitali originali (su richiesta).Prodotti opzionali: album - fotolibro - stampe - photobooth semplice e autoscatto - galleria live,yes,?
Spotlight snc,4.8,,?,no,950€,https://www.matrimonio.com/fotografo-matrimonio/spotlight-snc--e10114,"Foto, video, album, mini album, fotografie in alta risoluzione","Provinatura digitale, scatti ad alta risoluzione, elaborazioni grafiche, album, copertina personalizzatae un omaggio a scelta",yes,?
Pentaprisma - Servizi Fotografici,4.9,,?,no,900€-1600€,https://www.matrimonio.com/fotografo-matrimonio/pentaprisma-servizi-fotografici--e11134,"blu-ray o DVD con tutti gli scatti, Proponiamo foto-ringraziamento che stampiamo e consegnamo durante il ricevimento, ma anche partecipazioni, libretti messa, menu,  photobooth e proiezione durante il ricevimento di foto e video","Copertura oraria totale: dalla preparazione degli sposi fino alla fine del ricevimento, senza limiti diorario nè numero massimo di foto",yes,?
Alessandro Di Noia Fotografo,5.0,,?,no,1300€-2000€,https://www.matrimonio.com/fotografo-matrimonio/alessandro-di-noia-fotografo--e11214,"o DVD con tutti gli scatti, photocall","La mia presenza per l'intero evento senza limiti di tempo e scatti, album a partire dal 30x30cm conminimo 100 immagini scelte dagli sposi",yes,?
Laura Caserio Photography,4.8,,?,no,1000€,https://www.matrimonio.com/fotografo-matrimonio/laura-caserio-photography--e23314,"risoluzione, blu-ray o DVD con tutti gli scatti, photocall, Fotoringraziamenti stampati il giorno delle nozze.  Partecipazioni ""save the date"". Servizio Polaroid+photobooth  Servizio video con 1 o 2 operatori, riprese utilizzo di reflex, Gopro, drone a richiesta","Il Pacchetto base prevede il fotografo per l'intera giornata, scatti illimitati, consegna di tutti gliscatti su chiavetta USB + Slide-Motion con sottofondo musicale della vostra ""wedding Story""",yes,?
Foto Service & Bellidù Wedding Planner,4.9,,?,no,690€-1800€,https://www.matrimonio.com/fotografo-matrimonio/foto-service-&-bellidu-wedding-planner--e27894,"Foto, video, prematrimonio, album, mini album, album digitali, fotografie in alta risoluzione",Album classico o Album libro  e video,yes,?
Banfi Mirko - Fotografo,5.0,,?,no,900€,https://www.matrimonio.com/fotografo-matrimonio/banfi-mirko-fotografo--e31844,"risoluzione, blu-ray o DVD con tutti gli scatti",Il pack matrimonio comprende l'intera giornata dai preparativi ai balli finali dopo il taglio dellatorta.   Incluso un servizio prematrimoniale,yes,?
Fabrizio Russo,4.9,,?,no,1500€,https://www.matrimonio.com/fotografo-matrimonio/fabrizio-russo--e38334,"risoluzione, blu-ray o DVD con tutti gli scatti, altri","Album sposi, album genitori, DVD con tutti gli scatti in alta risoluzione",yes,?
Trasforini Wedding Studio,4.5,,?,no,1600€,https://www.matrimonio.com/fotografo-matrimonio/trasforini-wedding-studio--e39904,"DVD con tutti gli scatti, cabina fotografica, Photo Booth con stampa immediata","Comprende album personalizzati, stampe post-prodotte, file in alta risoluzione di tutto il matrimonio",yes,?
Erika Di Vito fotografa matrimoni,4.9,,?,no,1500€-7000€,https://www.matrimonio.com/fotografo-matrimonio/erika-di-vito-fotografa-matrimoni--e45924,"Foto, video, album, mini album, album digitali, fotografie in alta risoluzione","Copertura fotografica del giorno, due fotografi, nessun limite al numero di scatti effettuati, dvd confile selezionati in alta risoluzione, provinatura, galleria privata online",yes,?
Marelli Gianluca Photography,4.9,,?,no,600€,https://www.matrimonio.com/fotografo-matrimonio/marelli-gianluca-photography--e48974,"Foto, video, album, mini album, album digitali, fotografie in alta risoluzione, blu-ray o DVD con tutti gli scatti","I pacchetti sono vari e vanno dalla fornitura di scatti digitali su chiavetta, alla realizzazione dialbum, video montato e stampe varie",yes,Como e Lecco
Michele Crimi Photographer,4.9,,?,no,2500€-3500€,https://www.matrimonio.com/fotografo-matrimonio/michele-crimi-photographer--e53274,"risoluzione, blu-ray o DVD con tutti gli scatti, Drone e trailer sde proiettato prima del taglio della torta","Il pack matrimonio comprende: prematrimoniale con foto e video (120 foto), album 35x45, 2 album piccoliper genitori, 3poster, 3dvd. 1 blu ray + chiavetta usb",yes,Catania e Milano
Ray Clever Photographers,4.9,,?,no,600€-3500€,https://www.matrimonio.com/fotografo-matrimonio/ray-clever-photographers--e80194,"risoluzione, blu-ray o DVD con tutti gli scatti",I preventivi sono personalizzabili e plasmabili sul tipo di richiesta del cliente,yes,Milano e Monza e Brianza
Sara D'Ambra Photography,5.0,,?,no,1500€-2500€,https://www.matrimonio.com/fotografo-matrimonio/sara-dambra-photography--e80538,"Foto, prematrimonio, postmatrimonio, album, mini album, album digitali, fotografie in alta risoluzione","I pacchetti includono 1-2 fotografi, 8-10 ore di servizio, 400/500/800 scatti postprodotti in altarisoluzione, sia a colori che in bianco e nero, galleria fotografica con password",yes,?
Paolo Zen,5.0,,?,no,1000€-3000€,https://www.matrimonio.com/fotografo-matrimonio/paolo-zen--e82364,DVD con tutti gli scatti,Viene composto in base alle esigenze degli sposi,yes,?
Fototecnica Mariani,4.9,,?,no,700€-2200€,https://www.matrimonio.com/fotografo-matrimonio/fototecnica-mariani--e95385,"DVD con tutti gli scatti, Partecipazioni personalizzate con o senza foto, fotoringraziamenti consegnati durante la giornata, tableau de mariage, angolo photo boot con istantanee per foto divertenti con amici","L'offerta è ampia va dagli scatti della giornata in alta risoluzione ad un pack completo composto  da  un""Album libro"", copie album per i genitori, Video con o senza  riprese con drone",yes,"Como, Milano, Novara e Varese"
